parent_en,child_en,parent_ar,child_ar
Coins & Paper Money,Bullion,العملات المعدنية والورقية,السبائك
Coins & Paper Money,Coins: Ancient,العملات المعدنية والورقية,العملات القديمة
Coins & Paper Money,Virtual Currency,العملات المعدنية والورقية,العملات الافتراضية
Coins,Bullion,العملات المعدنية,السبائك
Collectibles,Animation Art & Merchandise,المقتنيات,فنون ومنتجات الرسوم المتحركة
Computers/Tablets & Networking,Computer Components & Parts,الحواسيب والأجهزة اللوحية والشبكات,مكوّنات وقطع الحاسوب
Computers/Tablets & Networking,"Drives, Storage & Blank Media",الحواسيب والأجهزة اللوحية والشبكات,الأقراص والتخزين والوسائط الفارغة
Computers/Tablets & Networking,Laptops & Netbooks,الحواسيب والأجهزة اللوحية والشبكات,الحواسيب المحمولة
Computers/Tablets & Networking,"Printers, Scanners & Supplies",الحواسيب والأجهزة اللوحية والشبكات,الطابعات والماسحات ومستلزماتها
Computers/Tablets & Networking,Software,الحواسيب والأجهزة اللوحية والشبكات,البرمجيات
Consumer Electronics,Home Telephones & Accessories,الإلكترونيات الاستهلاكية,الهواتف المنزلية وملحقاتها
Consumer Electronics,Mixed Lots,الإلكترونيات الاستهلاكية,مجموعات متنوعة
Consumer Electronics,Multipurpose Batteries & Power,الإلكترونيات الاستهلاكية,البطاريات ومصادر الطاقة متعددة الاستخدام
Consumer Electronics,Portable Audio & Headphones,الإلكترونيات الاستهلاكية,الصوتيات المحمولة وسماعات الرأس
Consumer Electronics,Radio Communication,الإلكترونيات الاستهلاكية,اتصالات الراديو
Consumer Electronics,Smart Glasses,الإلكترونيات الاستهلاكية,النظارات الذكية
Consumer Electronics,Surveillance & Smart Home Electronics,الإلكترونيات الاستهلاكية,إلكترونيات المراقبة والمنزل الذكي
Consumer Electronics,"TV, Video & Home Audio",الإلكترونيات الاستهلاكية,التلفزيونات والفيديو والصوتيات المنزلية
Consumer Electronics,Virtual Reality,الإلكترونيات الاستهلاكية,الواقع الافتراضي
Crafts,"Sculpting, Molding & Ceramics",الحِرف اليدوية,النحت والتشكيل والخزف
Electronics,GPS,الإلكترونيات,أنظمة تحديد المواقع GPS
Electronics,GPS Accessories,الإلكترونيات,ملحقات أنظمة تحديد المواقع
Electronics,Smart Home & Surveillance,الإلكترونيات,المنزل الذكي والمراقبة
Entertainment Memorabilia,Autographs-Original,مقتنيات الترفيه,التواقيع الأصلية
Everything Else,Every Other Thing,أشياء أخرى,كل شيء آخر
Everything Else,Religious Products & Supplies,أشياء أخرى,المنتجات والمستلزمات الدينية
Garden & Patio,Bird & Wildlife Accessories,الحديقة والفناء,ملحقات الطيور والحياة البرية
Garden & Patio,Composting & Garden Waste,الحديقة والفناء,التسميد ونفايات الحديقة
Garden & Patio,Décor,الحديقة والفناء,الديكور
Garden & Patio,Garden & Patio Furniture,الحديقة والفناء,أثاث الحديقة والفناء
Garden & Patio,Garden Clothing & Protective Gear,الحديقة والفناء,ملابس ومعدات الحماية للحديقة
Garden & Patio,"Garden Fencing, Privacy Screens & Gates",الحديقة والفناء,أسوار الحديقة وحواجز الخصوصية والبوابات
Garden & Patio,Garden Hand Tools & Equipment,الحديقة والفناء,الأدوات اليدوية ومعدات الحديقة
Garden & Patio,Garden Power Tools & Equipment,الحديقة والفناء,الأدوات الكهربائية ومعدات الحديقة
Garden & Patio,Garden Structures & Shade,الحديقة والفناء,هياكل الحديقة والمظلات
Garden & Patio,Hydroponics,الحديقة والفناء,الزراعة المائية
Garden & Patio,Landscaping & Garden Materials,الحديقة والفناء,مواد تنسيق الحدائق
Garden & Patio,"Lawn Mowers, Parts & Accessories",الحديقة والفناء,جزّازات العشب وقطعها وملحقاتها
Garden & Patio,Other Garden & Patio,الحديقة والفناء,مستلزمات حديقة أخرى
Garden & Patio,"Outdoor Heating, Cooking & Eating",الحديقة والفناء,التدفئة والطهي والطعام في الهواء الطلق
Garden & Patio,"Plant Care, Soil & Accessories",الحديقة والفناء,العناية بالنباتات والتربة والملحقات
Garden & Patio,"Plants, Seeds & Bulbs",الحديقة والفناء,النباتات والبذور والأبصال
Garden & Patio,Ponds & Water Features,الحديقة والفناء,البرك والنوافير المائية
Garden & Patio,"Swimming Pools, Saunas & Hot Tubs",الحديقة والفناء,المسابح والساونا وأحواض المياه الساخنة
Garden & Patio,Watering Equipment,الحديقة والفناء,معدات الري
Garden & Patio,Weed & Pest Control,الحديقة والفناء,مكافحة الأعشاب والآفات
Health & Beauty,"Nail Care, Manicure & Pedicure",الصحة والجمال,العناية بالأظافر والمانيكير والباديكير
Health & Beauty,Oral Care,الصحة والجمال,العناية بالفم والأسنان
Health & Beauty,Salon & Spa Equipment,الصحة والجمال,معدات الصالونات والسبا
Health & Beauty,Sun Protection & Tanning,الصحة والجمال,الحماية من الشمس والتسمير
Health & Beauty,Vitamins & Lifestyle Supplements,الصحة والجمال,الفيتامينات والمكمّلات الغذائية
Home & Garden,Food & Beverages,المنزل والحديقة,الأطعمة والمشروبات
Home & Garden,Furniture,المنزل والحديقة,الأثاث
Home & Garden,Kitchen Fixtures,المنزل والحديقة,تجهيزات المطبخ
Home & Garden,Major Appliances,المنزل والحديقة,الأجهزة الكبيرة
Home & Garden,Other Home & Garden,المنزل والحديقة,مستلزمات منزل وحديقة أخرى
Home & Garden,School Supplies,المنزل والحديقة,القرطاسية والمستلزمات المدرسية
Home Appliances,Coffee & Tea Makers,الأجهزة المنزلية,صانعات القهوة والشاي
Home Appliances,Dishwashing,الأجهزة المنزلية,غسّالات الصحون
Home Appliances,"Heating, Cooling & Air",الأجهزة المنزلية,التدفئة والتبريد والتكييف
Home Appliances,Irons & Press Irons,الأجهزة المنزلية,المكاوي ومكاوي البخار
Home Appliances,Other,الأجهزة المنزلية,أخرى
Home Appliances,Ranges & Cooking Appliances,الأجهزة المنزلية,المواقد وأجهزة الطهي
Home Appliances,Refrigerators & Freezers,الأجهزة المنزلية,الثلاجات والمجمّدات
Home Appliances,Small Kitchen Appliances,الأجهزة المنزلية,أجهزة المطبخ الصغيرة
Home Appliances,Steam Cleaner Parts,الأجهزة المنزلية,قطع منظّفات البخار
Home Appliances,Vacuum Cleaner Parts,الأجهزة المنزلية,قطع المكانس الكهربائية
Home Appliances,Vacuum Cleaners,الأجهزة المنزلية,المكانس الكهربائية
Home Appliances,Washers & Dryers,الأجهزة المنزلية,الغسّالات والنشّافات
"Home, Furniture & DIY","Heating, Cooling & Air",المنزل والأثاث والأعمال اليدوية,التدفئة والتبريد والتكييف
"Home, Furniture & DIY",Smart Home & Surveillance,المنزل والأثاث والأعمال اليدوية,المنزل الذكي والمراقبة
Movies & TV,3D TV Glasses & Accessories,الأفلام والتلفزيون,نظارات التلفزيون ثلاثية الأبعاد وملحقاتها
Movies & TV,DVDs & Blu-ray Discs,الأفلام والتلفزيون,أقراص DVD وبلو-راي
Movies & TV,Film Stock,الأفلام والتلفزيون,أفلام التصوير الخام
Movies & TV,Laserdiscs,الأفلام والتلفزيون,أقراص الليزر
Movies & TV,Movie Memorabilia,الأفلام والتلفزيون,مقتنيات الأفلام
Movies & TV,Other Formats,الأفلام والتلفزيون,صيغ أخرى
Movies & TV,UMDs,الأفلام والتلفزيون,أقراص UMD
Movies & TV,Video Media Accessories,الأفلام والتلفزيون,ملحقات وسائط الفيديو
Musical Instruments & Gear,DJ Equipment,الآلات والمعدات الموسيقية,معدات الدي جي
Musical Instruments & Gear,General Accessories,الآلات والمعدات الموسيقية,ملحقات عامة
Musical Instruments & Gear,Guitars & Basses,الآلات والمعدات الموسيقية,الغيتار والباس
Musical Instruments & Gear,Other Musical Instruments,الآلات والمعدات الموسيقية,آلات موسيقية أخرى
Musical Instruments & Gear,"Pianos, Keyboards & Organs",الآلات والمعدات الموسيقية,البيانو ولوحات المفاتيح والأرغن
Musical Instruments & Gear,Pro Audio Equipment,الآلات والمعدات الموسيقية,معدات الصوت الاحترافية
Musical Instruments & Gear,Sheet Music & Song Books,الآلات والمعدات الموسيقية,النوتات الموسيقية وكتب الأغاني
Musical Instruments & Gear,Vintage Musical Instruments,الآلات والمعدات الموسيقية,الآلات الموسيقية الكلاسيكية
Pet Supplies,Backyard Poultry Supplies,مستلزمات الحيوانات الأليفة,مستلزمات الدواجن المنزلية
Pet Supplies,Beekeeping,مستلزمات الحيوانات الأليفة,تربية النحل
Pet Supplies,Bird Supplies,مستلزمات الحيوانات الأليفة,مستلزمات الطيور
Pet Supplies,Cameras,مستلزمات الحيوانات الأليفة,الكاميرات
Pet Supplies,Cat Supplies,مستلزمات الحيوانات الأليفة,مستلزمات القطط
Pet Supplies,Dog Supplies,مستلزمات الحيوانات الأليفة,مستلزمات الكلاب
Pet Supplies,Fish & Aquariums,مستلزمات الحيوانات الأليفة,الأسماك وأحواض السمك
Pet Supplies,Other Pet Supplies,مستلزمات الحيوانات الأليفة,مستلزمات حيوانات أخرى
Pet Supplies,Pet Memorials & Urns,مستلزمات الحيوانات الأليفة,نُصب تذكارية للحيوانات
Pet Supplies,Reptile Supplies,مستلزمات الحيوانات الأليفة,مستلزمات الزواحف
Pet Supplies,Small Animal Supplies,مستلزمات الحيوانات الأليفة,مستلزمات الحيوانات الصغيرة
Pet Supplies,Trackers,مستلزمات الحيوانات الأليفة,أجهزة التتبّع
Sound & Vision,Manuals & Resources,الصوت والصورة,الأدلة والمراجع
Sound & Vision,TV & Home Audio Accessories,الصوت والصورة,ملحقات التلفزيون والصوتيات المنزلية
Sound & Vision,TV Reception & Set-Top Boxes,الصوت والصورة,أجهزة استقبال التلفزيون والرسيفرات
Sound & Vision,TVs,الصوت والصورة,التلفزيونات
Sporting Goods,Fishing,السلع الرياضية,صيد الأسماك
"Sports Mem, Cards & Fan Shop",Autographs-Original,مقتنيات وبطاقات ومستلزمات المشجعين الرياضية,التواقيع الأصلية
"Sports Mem, Cards & Fan Shop",Fan Apparel & Souvenirs,مقتنيات وبطاقات ومستلزمات المشجعين الرياضية,ملابس وهدايا المشجعين
"Sports Mem, Cards & Fan Shop",Sports Trading Cards,مقتنيات وبطاقات ومستلزمات المشجعين الرياضية,بطاقات التبادل الرياضية
"TV, Video & Audio",Karaoke,التلفزيون والفيديو والصوت,الكاريوكي
Toys & Hobbies,Building Toys,الألعاب والهوايات,ألعاب البناء والتركيب
Toys & Hobbies,Diecast & Toy Vehicles,الألعاب والهوايات,المركبات المعدنية والألعاب
Toys & Hobbies,"Electronic, Battery & Wind-Up",الألعاب والهوايات,الألعاب الإلكترونية والتي تعمل بالبطارية والتعبئة
Toys & Hobbies,Fast Food & Cereal Premiums,الألعاب والهوايات,هدايا الوجبات السريعة والحبوب
Toys & Hobbies,Slot Cars,الألعاب والهوايات,سيارات السباق على المضمار
Travel,Car Rental,السفر,تأجير السيارات
Vehicle Parts & Accessories,"Oils, Fluids & Lubricants",قطع غيار المركبات وملحقاتها,الزيوت والسوائل ومواد التشحيم
Video Games & Consoles,Prepaid Gaming Cards,ألعاب الفيديو وأجهزتها,بطاقات الألعاب مسبقة الدفع
Video Games & Consoles,Video Game Consoles,ألعاب الفيديو وأجهزتها,أجهزة ألعاب الفيديو
